abstract,categories
 i was skeptical about xinjiang slavery but now i'm like ,:thinking_face:
 yep while the population in xinjiang providence have recorded record growth. ,:upside__down_face:
"miracles of western propaganda  in the midst of a genocide, xinjiang has the fastest population growth in china ; youngest demographic structure cos of its large proportion of people from ethnic minorities, who were exempted from the one-child policy ",:clown_face:
 HRW failed to lie about Xinjiang so they are shifting their focus to Tibet ,:clown_face:
ushanka wearing gf who will acknowledge the cultural genocide happening to palestinian muslims in israel but denies the existence of the cultural genocide happening to uyghur muslims in xinjiang cause an anti-USA state capitalist nation is the one doing it&gt;&gt;&gt;,:heart_eyes:
"Are the Uighurs in China's Xinjiang province """"militants"""" or """"radicals""""? ..",:thinking_face:
 Wish our country flourishes Xinjiang's such beautiful place therefore I have no doubt that Xinjiang will have a bright future ,:heart:
 Wow! Whole wide world is a prison now? Not only Xinjiang!! I need to fight for freedom too!!! I'm in open air prison!! ,:sob:
" BTW, I have found that #CCP is whitewashing #Xinjiang #Genocide via foreigners.I am fighting against them ",:point_down:
 china  is the most evil inhuman country! look at #hongkongprotests #xinjiang #taiwan #myanmar we need the help from all around the world to perish the evil ccp asap! save the people please ,:sob:
" this so-called xinjiang concentration camp expert just blocked me today.  i was gonna invite him to xinjiang, a place he is so passionate about but has never set foot in. he might not like the fact that i reminded him everythjng he has written only happened in his head... ",:sob:
 eyes opener ; china foreign minister wang yi perspective is insightful admirable exactly applaud  wang yi ; the countries ; people's in the middle east are clear-eyed about the truth .when it comes to china's internal affairs xinjiang ; hk . 21 arab states supported ,:clap:
"#cotton #xinjiang they enslaved others to pick cotton hundreds of years ago, now they are starting to lie again ",:thumbsdown:
" 2021年03月25日 │ 嘉行迪丽热巴工作室 updates  ↬ 声明 ​​​。 dilireba along with her studio announced the termination of all cooperation with adidas, the brand that had dilireba as brand spokeperson, following the brand’s allegations of forced labour in xinjiang. ",:sparkles:
"Calling the Arfas,Barkhas, Swaras ,Krishnans,Ranas.. Even Aruntatty.. Your services and Andolan required in Xinjiang urgently for these poor women....Waiting ...",:point_down:
" """"it's because no independent journalists are allowed into xinjiang"""" ",:clown_face:
thanks to those heroes who silently guard xinjiang,:heart:
" it would probably still be refuted as lies no matter who went to xinjiang, these anti-china shills, just absolutely refuse to accept facts that contradict their western narratives. that's sad frankly speaking. those who refuse to accept facts from uyghurs themselves are indeed ",:shit:
"#china(prc): a mild #earthquake of magnitude mb=4.3, was registered at 21 km ssw of #dushanzi, aut. reg. of #xīnjiāng (#uygur). depth: 1 km. more info: did you feel this earthquake?, tell us!. #eqvt,#يەر_تەۋرەش,#地震,#dìzhèn,#sismo,#temblor,#terremoto. ",:flag_for_China:
" it’s weekend, let’s relaxif us use hongkong, xinjiang, tibet to mess up china, it’s opportunity for europe to cooperate with china. we can talk freely in france and in china, we just have different opinions, but don’t hate each other, otherwise, us make a good job, maga. :rolling_on_the_floor_laughing: ",:satisfied:
"I don't think you even know what an earth you're talking about, probably never even been to China, let alone Xinjiang ",:joy:
how many people posting about that stupid iraq war video game have said nothing about the blackwater guy's involvement with the situation in xinjiang ,:eyes:
 Xinjiang's BBQ is very unique，and very delicious!,:joy:
 i remember the new axis power team created last year.  probably not going to xinjiang any time soon,:thinking_face:
. Our Gov. should require every garment or textile product to state on the product whether it contains Xinjiang cotton.e.g. every shirt or every scarf on salein Walmart all over the world must contain a statement on tag that it doesn't contain any Xinjiang cotton.  .,:heart:
"  funny people just feel so politically and morally correct to say that a genocide has been committed in xinjiang. i will ask once again, except for the bullshit that western media fed you, any valid evidence of genocide?",:joy:
" In my opinion, few of us are willing to migrate to Xinjiang.Many young people prefer Beijing,Shanghai.etc. So I believe Uyghur births are far more than Han Chinese immigration:slightly_smiling_face:",:joy:
"qrts regarding the #xinjiang cotton incident is  know the whole story first before you make a statement, those people really be just commenting w/o valid evidence",:grimacing:
" meanwhile, tourists are enjoying their trip in #xinjiang.  ",:blush:
"haha it's already reached the needed ones and more will arrive..you don't need it but many dying people need this..Mean you can enjoy the Urumqi, the capital of Xinjiang..",:grinning:
These little bunch of UK lawmakers aka lawbreakers probably hadn’t a clue where Xinjiang is let alone falsely claiming genocide ,:face_vomiting:
"Will #XinjiangCotton made through #forcedlabor be used in the #Beijing2022 Olympic village bedding?This will give new meaning to the phrase - """"How do you sleep at night?"""" #UyghurGenocide #Xinjiang",:thinking_face:
"cotton fabrics----xinjiang cotton with xinjiang cotton spinning yarn woven fabric, its moisture absorption and breathability, good gloss, higher strength, and the fabric yarn defects are less, the quilt warmth is good. #ntbay #bedding #home #life #xinjiangcotton #hm ",:sparkles:
" you made me laugh. hm is against cotton, not people. if it was against xinjiang people, it would have been banned long ago. besides, it's not like nobody said they support the people of xinjiang. it seems that you know better than our locals",:joy:
" Share with you.  Again,! Again! Again! A hopeless country on Earth.  1st independent report into #Xinjiang genocide allegations claims evidence of Beijing's 'intent to destroy' #Uyghur people ",:point_down:
night in Xinjiang China means 1AM ,:joy:
 Ayo this cunt denies genocide so he can get dicked down by Xi Jinping  #China #CCP #Xinjiang #Iran #FalconAndWinterSoldier,:thinking_face:
"loverboy 88 cult, spread the word!!! yingkouindahouse qinhuangdaoindahouse japanindahouseand  hainaninda house  xinjiang  in  dahouse zhejiangwenzhouinda housewe:martial_arts_uniform:got:red_circle:chongqing:tropical_fish:in :fried_shrimp:da:earth_americas:house:leopard:and:turtle:china:cloud_with_tornado:in:cherry_blossom:da:pancakes:house:older_woman: ",:zzz:
Everyone start sharing the #Xinjiang dance!,:heart:
" they can start by guaranteeing 25% of their clothes be made with xinjiang cotton, and they must own the supply chain themselves and pay their uyghur labors fair ‘unionized’ wages.  you know, since the west care about uyghurs and labor rights so much.",:wink:
" Beijing’s ‘Wolf Warrior’ #战狼 styled aggressive behavior while poss resonating in Xi’s homegrown ‘echo chamber’ is doing very little to enamor it w/the world—esp in the aftermath of a China originated COVID pandemic,  of Uighurs in Xinjiang &amp;  democratic norms in Hong Kong.",:arrow_down:
"oh hilarious... #us style #divideandconquer hits the 'so-called', self-proclaimed #uyghurs 'government in exile' too..i dug into this twaddle previously; see: #china #xinjiang #uighurs :smiling_face_with_hearts::flag_for_China::smiling_face_with_hearts:",:zany_face:
 some companies and citizens in xinjiang r going to file law suit against adrian zenz. this is long overdue! thank u for always voicing out for the truth jerry  ,:heart:
" of course, or their office will b wiped out by the ccp in china. you should know about it clearly. w/o free n unrestricted journalism in xinjiang, no one cares what ccp says... the eu is basically asking 4 a """"social compliance audit"""" on their suppliers, n ccp is mad on that.",:wink:
 lol that’s all you got mark? empty words now just like fake xinjiang news? ,:joy:
"..one member says he's online every night chatting to pretty women from #xinjiang, so the people there must have their freedom.. ",:upside__down_face:
tomorrow morning we are publishing our report on #uyghur forced labour in xinjiang and uk value chains. read more about our inquiry: ,:point_down:
Oh god not again  why do they always blatantly try to pass off Switzerland as Xinjiang.,:sob:
Yes Pak will be trapped btwn Chinks n yankees . There are very bright chances of spilling in Xinjiang too . Ab aayega maaja khel ka .Let chinks taste real jihad . ,:sunglasses:
" What doesn't tell you is that Xinjiang alone has twice the number of mosques the US, UK, Canada and Australiacombined! Ironic given his ",:shit:
 since ypu done your research tell us about the camps Xinjiang,:joy:
" Imagine telling me to get my facts straight when you’ve just claimed that no world organisation has been allowed to visit Xinjiang. Okay, let’s remove Russia and the UN for the sake of argument. What about all the others I’ve mentioned?",:joy:
