id,tweet
1377799227716161539,"👇”according to un estimates, china has detained more than a million uyghurs and other muslims in camps in xinjiang. the chinese state has been accused of an array of abuses there including forced labour, sterilisation, torture, rape, and genocide.” "
1377798066728669185," the groups are pushing legislature to follow in footsteps of us,canada and netherlands by declaring china’s actions in xinjiang a genocide. mps also working on a japanese version of the global magnitsky act to impose sanctions on govt officials involved in human rights abuses.👍"
1377793481813336065," not in xinjiang but in the rest of china!!!! men are getting more and more desperate in finding uyghurs girls to marry them. chances are, girls from other parts of china are not happy with this development.😡"
1377793359943720960,"democracynow will have on vijay prashad to talk about how us media demonizes china nonstop and how its all propaganda based on bull shit, w/amy goodman/juan gonzález agreeing as if they haven’t ran nonstop lies about xinjiang for years platforming adrian zenz and rushan abbas😩😭"
1377785737907560448, imma assume ur with the falin gong cult! 🤣🤣
1377784260392853509," 🤔, sounds like an improvement on western sinophobics propagandists go to expert xinjiang expert, namely an antisemitic homophobic theologian that can barely string a sentence in chinese together"
1377784211243855874,another leaked video of #xinjiangcotton #forcedlabor of machines! machine lives matter! 🏭 #xinjiang #forcedlabour 
1377781142099652609,"how🤬are the western elites right now? bill gates must be fuming! i remember all the article that gleefully assumed, ppl of the entire continent of africa were just gonna...die. and now, with the new variants, the same countries r now obstructing patent waivers! shame on 🇨🇦for🤐"
1377780824381255680,actors vow to boycott georgia and only film in the xinjiang region of china | the babylon bee. 👍👍👍 
1377779183699382273,"🇨🇳🏀 true monster! zhou qi became no.1 player in #cba to grab 37 pts, 26 reb, 6 ast ; 4 blk. 🔥 the xinjiang center finished the 1st half against guangzhou with 18 pts ; 18 reb 🔥 "
1377778620639285249,thanks to those heroes who silently guard xinjiang❤️🇨🇳
1377776505716047872, including somaliland! sry. this is just getting ridiculous!!!!! 🤬🤬🤬.
1377776166560362503," this shit upsets me sooooo much! djibouti and somali are the same ppl! 🖕the french, italian and uk imperialist!!!!!"
1377775748765810690," ""i was the producer who worked on all the reports on xinjiang which featured adrian zenz."" then how the hell does she not know adrian zenz? you're gonna feature someone you have completely never heard of or known of?😕"
1377773314106658818,let me read into this xinjiang camp thing properly 🤧
1377770178541281280,"so this is what xinjiang is all about? uk govt funded bbc world service commissioned someone to make up a story, tells it a million times and the intelligence community calls it “plenty of evidence”, then get the excuse to attack your enemy problem is getting caught for this 🤣"
1377769274169643012, be sure to come to xinjiang to taste their taste food and enjoy there beautiful scenery...👣
1377764383493738497,gut-wrenching to read this statement from a young australia based chinese journalist and her friends ; family are undergoing tsunami amount of threads because of her critical reporting in the past 3 years on nazi level tortures to uyghur in xinjiang by ccp gov. mad respect!🙏
1377764203583262721," they can start by guaranteeing 25% of their clothes be made with xinjiang cotton, and they must own the supply chain themselves and pay their uyghur labors fair ‘unionized’ wages. 😉 you know, since the west care about uyghurs and labor rights so much."
1377760073838030850," china is threatening everyone who speaks out on human rights for xinjiang cotton “ take it or leave it “ setting h;m as example , while nike, adidas are also on fire even not as big as h;m. while the local sport brand “ li ning “ design for paris fashion week 👇👇👇 "
1377759227884662786, this video is from hubei ! forget west china needs to teach some geography first. hubei is not xinjiang 🤪
