id,tweet,name,cotton,genocide,camps,olympics,sterilizations,humanright,muslim,faith,language
1,"""Forced labor"" in Xinjiang is a flat-out lie. We have clarified the truth on multiple occasions. We hope relevant US organization and companies will tell right from wrong, refuse to buy the rumor and make right judgment based on their own interests.",Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,China thanks the 64 countries who made overwhelming voice of justice at the 46th session of the UN Human Rights Council in support of China's position on Xinjiang-related matters.,Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,"There has never been any ""genocide"", ""forced labor"" or  ""religious oppression"" in Xinjiang. Such sensational rumors are fabricated by those ignorant and biased individuals, who simply want to seek political interests.  ",Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,"We oppose baseless US rumors &amp; smears against China. Xinjiang's Uyghur population doubled over the past 40 years while the population of native Indians in the US nosedived by 95% from 1492 to the early 1900s. It's NOT China that should be labeled ""genocide"".  ",Spokesperson发言人办公室,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
5,"Claiming to conduct ""academic research"", Adrian Zenz has been cooking up various rumors about China, especially about the Xinjiang Uyghur Autonomous Region. For him &amp; the anti-China forces behind him, a day of reckoning will come.  ",Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6,The door to Xinjiang is always open.  ,Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,Charges can easily be framed if you want to accuse others. The well-being of people in Xinjiang is the last thing certain Western countries care about. They simply want to interfere in China's internal affairs &amp; disrupt its development under the cover of human rights.,Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,"We have used every possible occasion to debunk rumors flying around on Xinjiang. The so-called allegation of ""genocide"" and ""forced labor"" can never stand the test of facts.  ",Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,"Allegations of ""genocide"" and ""forced labor"" in Xinjiang are lies of the century. Xinjiang's Uyghur population more than doubled in the past 40 years. Have you ever seen this kind of genocide?  ",Spokesperson发言人办公室,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
10,Don't fall for lies on Xinjiang.  ,Spokesperson发言人办公室,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
11,We strongly condemn the passing of the Xinjiang-related motion by Canada's House of Commons.  ,Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
12,"Allegations of ""genocide"" in Xinjiang are LIES of the CENTURY. But genocide did take place in Canada, the US&amp;Australia. In the 1870s, the Canadian government included assimilation of indigenous people in its official agenda&amp;openly advocated “the killing of the Indian bloodline”.  ",Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,"To get well-informed about Xinjiang, read this fact check:    ",Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
14,Here are some familiar names behind lies about Xinjiang.  ,Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,There is no genocide in Xinjiang. We hope the Biden administration will see the stability &amp; development in Xinjiang and handle the issue in a fact-based and responsible manner. We oppose any interference in China's internal affairs.  ,Spokesperson发言人办公室,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0
16,#Pompeo's lies are an affront to the 1.4 billion Chinese people including 25 million #Xinjiang residents &amp; to the intelligence of the American people and the international community. He has betrayed &amp; challenged the basic moral standard &amp; human conscience.,Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
17,"The life expectancy of #Xinjiang residents grew from 30 to 72 over the past 60 years or so. The Uyghur population increased by 25.04% from 2010-2018, much higher than the 2% growth rate of the Han population.",Spokesperson发言人办公室,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,"In 2019, #Xinjiang received 200+ million domestic &amp; foreign travelers. They saw with their own eyes how beautiful Xinjiang is &amp; how people of all ethnic groups in Xinjiang enjoy unity, harmony &amp; happiness.",Spokesperson发言人办公室,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
19,"""China committing genocide &amp; crimes against humanity in #Xinjiang"" only exists in #Pompeo's ugly political conspiracies. It has never happened and will never happen in our country!  ",Spokesperson发言人办公室,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
